queried,a_record
antrimnh-gov.mail.protection.outlook.com.,104.47.66.10
apexnc-gov.mail.protection.outlook.com.,52.101.9.19
apexnc-gov.mail.protection.outlook.com.,52.101.11.12
apexnc-gov.mail.protection.outlook.com.,52.101.8.50
apexnc-gov.mail.protection.outlook.com.,52.101.8.52
smtp1-mke.securence.com.,216.17.3.48
smtp1-msp.securence.com.,216.17.3.48
d293026b.ess.barracudanetworks.com.,209.222.82.253
d293026b.ess.barracudanetworks.com.,209.222.82.252
d293026b.ess.barracudanetworks.com.,209.222.82.255
d293026a.ess.barracudanetworks.com.,209.222.82.252
d293026a.ess.barracudanetworks.com.,209.222.82.255
d293026a.ess.barracudanetworks.com.,209.222.82.253
d225007b.ess.barracudanetworks.com.,209.222.82.252
d225007b.ess.barracudanetworks.com.,209.222.82.255
d225007b.ess.barracudanetworks.com.,209.222.82.253
d225007a.ess.barracudanetworks.com.,209.222.82.255
d225007a.ess.barracudanetworks.com.,209.222.82.252
d225007a.ess.barracudanetworks.com.,209.222.82.253
mailf2.applevalleymn.gov.,156.142.109.45
mailf1.applevalleymn.gov.,156.142.109.44
applevalleymn-gov.mail.protection.outlook.com.,52.101.8.50
applevalleymn-gov.mail.protection.outlook.com.,52.101.8.52
applevalleymn-gov.mail.protection.outlook.com.,52.101.9.19
applevalleymn-gov.mail.protection.outlook.com.,52.101.11.12
appomattoxva-gov.mail.protection.outlook.com.,52.101.9.0
appomattoxva-gov.mail.protection.outlook.com.,52.101.194.19
appomattoxva-gov.mail.protection.outlook.com.,52.101.9.12
appomattoxva-gov.mail.protection.outlook.com.,52.101.10.12
appomattoxva-gov.mail.protection.outlook.com.,52.101.194.0
appomattoxva-gov.mail.protection.outlook.com.,52.101.11.7
appomattoxva-gov.mail.protection.outlook.com.,52.101.10.10
aspmx4.googlemail.com.,64.233.186.26
aspmx5.googlemail.com.,209.85.202.26
lastmx.spamexperts.net.,38.111.198.185
lastmx.spamexperts.net.,154.59.104.23
lastmx.spamexperts.net.,38.89.254.156
lastmx.spamexperts.net.,149.13.75.27
fallbackmx.spamexperts.eu.,38.111.198.185
fallbackmx.spamexperts.eu.,38.109.53.20
fallbackmx.spamexperts.eu.,38.89.254.156
mx.spamexperts.com.,38.111.198.185
arcadami.gov.,50.28.9.200
d166201b.ess.barracudanetworks.com.,209.222.82.252
d166201b.ess.barracudanetworks.com.,209.222.82.255
d166201b.ess.barracudanetworks.com.,209.222.82.253
d166201a.ess.barracudanetworks.com.,209.222.82.252
d166201a.ess.barracudanetworks.com.,209.222.82.255
d166201a.ess.barracudanetworks.com.,209.222.82.253
cuda2.crossvalley.com.,173.163.1.145
cuda1.crossvalley.com.,173.163.154.140
archdalenc-gov02b.mail.protection.outlook.com.,52.101.9.19
archdalenc-gov02b.mail.protection.outlook.com.,52.101.8.50
archdalenc-gov02b.mail.protection.outlook.com.,52.101.8.52
archdalenc-gov02b.mail.protection.outlook.com.,52.101.11.12
archerlodgenc-gov.mail.protection.outlook.com.,104.47.59.138
archerlodgenc-gov.mail.protection.outlook.com.,104.47.55.138
arcoidaho-gov.mail.protection.outlook.com.,52.101.40.2
arcoidaho-gov.mail.protection.outlook.com.,52.101.42.9
arcoidaho-gov.mail.protection.outlook.com.,52.101.41.4
arcoidaho-gov.mail.protection.outlook.com.,52.101.40.0
arcoidaho-gov.mail.protection.outlook.com.,52.101.8.34
arcoidaho-gov.mail.protection.outlook.com.,52.101.194.4
arcoidaho-gov.mail.protection.outlook.com.,52.101.40.24
arcolapdtx-gov.mail.protection.outlook.com.,52.101.11.12
arcolapdtx-gov.mail.protection.outlook.com.,52.101.9.19
arcolapdtx-gov.mail.protection.outlook.com.,52.101.8.52
arcolapdtx-gov.mail.protection.outlook.com.,52.101.8.50
arcolatexas-gov.mail.protection.outlook.com.,52.101.10.8
arcolatexas-gov.mail.protection.outlook.com.,52.101.42.4
arcolatexas-gov.mail.protection.outlook.com.,52.101.40.2
arcolatexas-gov.mail.protection.outlook.com.,52.101.42.9
arcolatexas-gov.mail.protection.outlook.com.,52.101.11.10
arcolatexas-gov.mail.protection.outlook.com.,52.101.42.10
arcolatexas-gov.mail.protection.outlook.com.,52.101.194.19
ardmoreok-gov.mail.protection.outlook.com.,104.47.66.10
ardmoreok-gov.mail.protection.outlook.com.,104.47.59.138
mail.cjissolutions.com.,69.160.255.12
arkansascityks-gov.mail.protection.outlook.com.,52.101.8.50
arkansascityks-gov.mail.protection.outlook.com.,52.101.8.52
arkansascityks-gov.mail.protection.outlook.com.,52.101.9.19
arkansascityks-gov.mail.protection.outlook.com.,52.101.11.12
d241978a.ess.barracudanetworks.com.,209.222.82.255
d241978a.ess.barracudanetworks.com.,209.222.82.253
d241978a.ess.barracudanetworks.com.,209.222.82.252
d241978b.ess.barracudanetworks.com.,209.222.82.253
d241978b.ess.barracudanetworks.com.,209.222.82.255
d241978b.ess.barracudanetworks.com.,209.222.82.252
arlingtonmn-gov.mail.protection.outlook.com.,52.101.9.19
arlingtonmn-gov.mail.protection.outlook.com.,52.101.8.50
arlingtonmn-gov.mail.protection.outlook.com.,52.101.8.52
arlingtonmn-gov.mail.protection.outlook.com.,52.101.11.12
arlingtonne-gov.mail.protection.outlook.com.,52.101.194.19
arlingtonne-gov.mail.protection.outlook.com.,52.101.10.8
arlingtonne-gov.mail.protection.outlook.com.,52.101.42.4
arlingtonne-gov.mail.protection.outlook.com.,52.101.40.2
arlingtonne-gov.mail.protection.outlook.com.,52.101.42.9
arlingtonne-gov.mail.protection.outlook.com.,52.101.11.10
arlingtonne-gov.mail.protection.outlook.com.,52.101.42.10
mxa-003aba01.gslb.pphosted.com.,148.163.138.86
mxb-003aba01.gslb.pphosted.com.,148.163.134.86
d138933a.ess.barracudanetworks.com.,209.222.82.253
d138933a.ess.barracudanetworks.com.,209.222.82.252
d138933a.ess.barracudanetworks.com.,209.222.82.255
d138933b.ess.barracudanetworks.com.,209.222.82.255
